gen,art_freq,ven_freq,art_freq_ste,ven_freq_ste,art_len,cap_len,ven_len,art_len_ste,cap_len_ste,ven_len_ste,art_dia,cap_dia,ven_dia,art_dia_ste,cap_dia_ste,ven_dia_ste,
63,0,0,NaN,NaN,0,0,16.444,NaN,NaN,71.679,0,0,0.72926,NaN,NaN,3.1788
64,0,0.12,NaN,0.6,0,0,19.024,NaN,NaN,82.925,0,0,0.91984,NaN,NaN,4.0095
65,0,0.08,NaN,0.4,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
66,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
67,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
68,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
69,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
70,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
71,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
72,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
73,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
74,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
75,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
76,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
77,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
78,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
79,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
80,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN
